# Solar-term (qi) calibration table (QI_KB). Rows of (julian_day,step);
# the final short row is the terminal julian_day. Flattened in order.
1640650.479938,15.21842500
1642476.703182,15.21874996
1683430.515601,15.218750011
1752157.640664,15.218749978
1807675.003759,15.218620279
1883627.765182,15.218612292
1907369.128100,15.218449176
1936603.140413,15.218425000
1939145.524180,15.218466998
1947180.798300,15.218524844
1964362.041824,15.218533526
1987372.340971,15.218513908
1999653.819126,15.218530782
2007445.469786,15.218535181
2021324.917146,15.218526248
2047257.232342,15.218519654
2070282.898213,15.218425000
2073204.872850,15.218515221
2080144.500926,15.218530782
2086703.688963,15.218523776
2110033.182763,15.218425000
2111190.300888,15.218425000
2113731.271005,15.218515671
2120670.840263,15.218425000
2123973.309063,15.218425000
2125068.997336,15.218477932
2136026.312633,15.218472436
2156099.495538,15.218425000
2159021.324663,15.218425000
2162308.575254,15.218461742
2178485.706538,15.218425000
2178759.662849,15.218445786
2185334.020800,15.218425000
2187525.481425,15.218425000
2188621.191481,15.218437494
2322147.76
